Grupo;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
17/03/2022;26;130,57;13,27;143,84;16,28;114,29
18/03/2022;46;235,99;23,59;259,57;15,82;220,17
19/03/2022;48;380,58;39,37;419,95;25,52;355,06
20/03/2022;37;220,69;22,07;242,76;15,83;204,86
22/03/2022;25;94,86;9,76;104,62;14,32;80,54
23/03/2022;26;147,68;15,31;163;13,65;134,03
24/03/2022;22;77,45;7,74;85,19;8,36;69,09
25/03/2022;33;153,92;17,11;171,03;17,99;135,93
26/03/2022;52;371,36;37,17;408,52;29,8;341,56
27/03/2022;53;325,24;31,85;357,09;12,02;313,22
28/03/2022;31;120,41;12,04;132,45;2,22;118,19
29/03/2022;39;171,92;17,19;189,11;9,3;162,62
30/03/2022;28;103,08;10,28;113,35;5,02;98,06
31/03/2022;30;116,84;11,45;128,28;10,45;106,39
01/04/2022;47;233,93;23,62;257,55;26,23;207,7
02/04/2022;65;354,89;37,75;392,64;25,93;328,96
03/04/2022;58;395,37;40,59;435,96;16,58;378,79
04/04/2022;14;89,94;8,28;98,22;9,27;80,67
05/04/2022;24;117,56;11,04;128,61;4,61;112,95
06/04/2022;45;267,28;28,12;295,4;13,34;253,94
07/04/2022;70;364,07;36,96;401,03;6,11;357,96
08/04/2022;59;329,95;33,02;362,97;19,22;310,73
09/04/2022;45;323,88;31,73;355,61;16,21;307,67
10/04/2022;132;946,78;103,61;1050,39;39,13;907,65
11/04/2022;37;219,18;21,92;241,1;1,23;217,95
12/04/2022;23;95,64;9,56;105,21;3,82;91,82
13/04/2022;43;223,16;24,12;247,28;13,31;209,85
14/04/2022;70;418,14;41,81;459,95;5,76;412,38
15/04/2022;82;521,05;53,89;574,94;10,3;510,75
16/04/2022;85;560,83;58,87;619,7;20,38;540,45
17/04/2022;170;928,11;97,54;1025,65;23,15;904,96
18/04/2022;86;459,6;45,95;505,55;10,26;449,34
19/04/2022;33;115,59;11,56;127,15;12,72;102,87
21/04/2022;52;303,14;31,12;334,26;8,38;294,76
23/04/2022;28;155,11;15,77;170,88;5,11;150
24/04/2022;144;973,33;102,21;1075,54;44,17;929,16
25/04/2022;67;314,06;34,34;348,4;13,96;300,1
26/04/2022;51;200,84;20,59;221,43;7,8;193,04
27/04/2022;22;102,97;10,08;113,05;4,78;98,19
28/04/2022;37;147,83;14,99;162,82;3,21;144,62
29/04/2022;107;588,87;59,91;648,78;11,02;577,85
30/04/2022;93;640,88;65,77;706,65;23,95;616,93
01/05/2022;178;1301,47;136,78;1438,25;34,81;1266,66
04/05/2022;60;263,46;26,6;290,07;8,74;254,72
05/05/2022;82;459,99;47,63;507,62;25,78;434,21
06/05/2022;155;808,33;83,36;891,69;23,76;784,57
07/05/2022;141;937,39;96,51;1033,91;20,08;917,31
08/05/2022;187;1232,68;126,28;1358,96;23,91;1208,77
09/05/2022;49;269,34;26,46;295,8;6,84;262,5
10/05/2022;105;524,27;52,88;577,15;18,31;505,96
11/05/2022;91;443,1;44,55;487,65;8,43;434,67
12/05/2022;84;435,58;44,72;480,3;6;429,58
13/05/2022;133;799,49;80,67;880,15;11,67;787,82
14/05/2022;114;785,5;80,25;865,75;24,52;760,98
15/05/2022;158;1048,11;106,51;1154,62;25,49;1022,62
16/05/2022;115;719,86;74,74;794,6;10,23;709,63
17/05/2022;82;459,81;48,09;507,9;8,5;451,31
18/05/2022;82;443,18;44,63;487,81;11,12;432,06
19/05/2022;93;484,31;48,5;532,81;7,27;477,04
20/05/2022;140;829,04;83,37;912,41;26,62;802,42
21/05/2022;107;649,2;66,32;715,52;15,11;634,09
22/05/2022;133;797,42;81,88;879,3;14,31;783,11
24/05/2022;47;247,8;25,49;273,3;9,98;237,82
26/05/2022;88;482,46;49,06;531,52;14,87;467,59
27/05/2022;145;733,47;74,39;807,86;11,6;721,87
