,Fecha,Ventas
843,2023-10-20,184.72
844,2023-10-21,244.51
845,2023-10-22,272.73
846,2023-10-23,118.57
847,2023-10-25,209.3
848,2023-10-26,148.44
849,2023-10-27,166.69
850,2023-10-28,161.96
851,2023-10-29,239.52
852,2023-11-02,186.19
853,2023-11-03,143.82
854,2023-11-04,203.71
855,2023-11-05,300.57
856,2023-11-07,147.33
857,2023-11-08,123.64
858,2023-11-09,290.75
859,2023-11-10,199.27
860,2023-11-11,245.46
861,2023-11-12,525.7
862,2023-11-14,130.5
863,2023-11-15,100.0
864,2023-11-16,131.16
865,2023-11-17,220.5
866,2023-11-18,292.46
867,2023-11-19,271.52
868,2023-11-21,115.19
869,2023-11-22,144.0
870,2023-11-23,120.74
871,2023-11-24,127.52
872,2023-11-25,230.01
873,2023-11-26,170.22
874,2023-11-28,135.03
875,2023-11-29,119.93
876,2023-11-30,139.98
877,2023-12-01,214.99
878,2023-12-02,194.62
879,2023-12-03,174.55
880,2023-12-05,140.26
881,2023-12-06,169.26
882,2023-12-07,138.82
883,2023-12-08,90.59
884,2023-12-09,31.66
885,2023-12-10,90.95
886,2023-12-11,62.67
887,2023-12-12,125.83
888,2023-12-13,73.83
889,2023-12-14,145.8
890,2023-12-15,130.36
891,2023-12-16,178.28
892,2023-12-17,178.28
893,2023-12-19,146.79
894,2023-12-20,140.79
895,2023-12-21,205.91
896,2023-12-22,244.42
897,2023-12-23,192.41
898,2023-12-24,216.89
899,2023-12-25,226.89
900,2023-12-26,104.95
901,2023-12-27,91.64
902,2023-12-28,154.51
903,2024-01-03,120.0
904,2024-01-04,41.9
905,2024-01-05,122.84
906,2024-01-06,160.85
907,2024-01-07,129.62
908,2024-01-08,96.5
909,2024-01-09,45.6
910,2024-01-10,55.2
911,2024-02-01,181.8
912,2024-02-02,223.77
913,2024-02-03,314.13
914,2024-02-04,638.75
915,2024-02-05,82.57
916,2024-02-06,94.18
917,2024-02-07,93.42
918,2024-02-08,115.8
919,2024-02-09,152.05
920,2024-02-10,225.52
921,2024-02-11,194.13
922,2024-02-13,94.95
923,2024-02-14,91.84
924,2024-02-15,124.59
925,2024-02-16,148.1
926,2024-02-17,716.57
927,2024-02-18,742.36
928,2024-02-20,248.57
929,2024-02-21,260.76
930,2024-02-22,146.5
931,2024-02-23,140.56
932,2024-02-24,224.67
933,2024-02-25,158.35
934,2024-02-27,97.55
935,2024-02-28,149.57
936,2024-02-29,150.41
937,2024-03-01,165.31
938,2024-03-03,256.51
939,2024-03-05,163.61
940,2024-03-06,190.37
941,2024-03-07,107.05
942,2024-03-08,109.43
943,2024-03-09,182.34
944,2024-03-10,307.4
945,2024-03-12,207.57
946,2024-03-13,226.06
947,2024-03-14,141.1
948,2024-03-15,200.9
949,2024-03-16,524.67
950,2024-03-17,704.57
951,2024-03-19,350.29
952,2024-03-20,287.97
953,2024-03-21,554.39
954,2024-03-22,625.2
955,2024-03-23,715.34
956,2024-03-24,672.61
957,2024-03-26,143.92
958,2024-03-27,108.12
959,2024-03-28,40.48
960,2024-03-30,8.2
961,2024-04-01,113.59
962,2024-04-02,149.3
963,2024-04-03,198.94
964,2024-04-04,329.11
965,2024-04-05,816.0
966,2024-04-06,763.55
967,2024-04-07,1139.5
968,2024-04-09,396.12
969,2024-04-10,411.5
970,2024-04-11,651.8
971,2024-04-12,1037.25
972,2024-04-13,1320.8
973,2024-04-14,1535.3
974,2024-04-16,463.65
975,2024-04-17,502.45
976,2024-04-18,554.75
977,2024-04-19,862.25
978,2024-04-20,1135.4
979,2024-04-21,1231.35
980,2024-04-23,249.8
981,2024-04-24,313.9
982,2024-04-25,291.3
983,2024-04-26,235.65
984,2024-04-27,25.3
985,2024-05-03,458.05
986,2024-05-04,576.1
987,2024-05-05,626.7
988,2024-05-06,141.6
989,2024-05-07,488.35
990,2024-05-08,427.5
991,2024-05-09,522.85
992,2024-05-10,1011.1
993,2024-05-11,1170.9
994,2024-05-12,1465.7
995,2024-05-14,239.25
996,2024-05-15,1215.1
997,2024-05-16,270.9
998,2024-05-17,574.8
999,2024-05-18,868.45
1000,2024-05-19,916.75
1001,2024-05-21,255.35
1002,2024-05-22,359.65
1003,2024-05-23,651.3
1004,2024-05-24,899.35
1005,2024-05-25,956.7
1006,2024-05-26,1321.55
1007,2024-05-28,615.7
1008,2024-05-29,613.2
1009,2024-05-30,884.6
1010,2024-05-31,1039.8
1011,2024-06-01,1196.15
1012,2024-06-02,1268.1
1013,2024-06-04,610.95
1014,2024-06-05,766.35
1015,2024-06-06,868.85
1016,2024-06-07,1141.85
1017,2024-06-08,565.6
1018,2024-06-09,1122.6
1019,2024-06-11,652.25
1020,2024-06-12,503.25
1021,2024-06-13,652.85
1022,2024-06-14,964.0
1023,2024-06-15,822.6
1024,2024-06-16,1164.55
1025,2024-06-18,314.95
1026,2024-06-19,404.0
1027,2024-06-20,323.25
1028,2024-06-21,1060.1
1029,2024-06-22,838.45
1030,2024-06-23,914.15
1031,2024-06-25,528.95
1032,2024-06-26,457.7
1033,2024-06-27,603.0
1034,2024-06-28,469.1
1035,2024-06-29,719.55
1036,2024-06-30,872.05
1037,2024-07-02,347.5
1038,2024-07-03,601.1
1039,2024-07-04,618.0
1040,2024-07-05,624.65
1041,2024-07-06,887.65
1042,2024-07-07,956.2
1043,2024-07-09,474.15
1044,2024-07-10,481.15
1045,2024-07-11,674.3
1046,2024-07-12,685.45
1047,2024-07-13,795.85
1048,2024-07-14,744.8
1049,2024-07-16,466.1
1050,2024-07-17,391.3
1051,2024-07-18,527.1
1052,2024-07-19,485.55
1053,2024-07-20,800.5
1054,2024-07-21,818.3
1055,2024-07-23,483.65
1056,2024-07-24,513.3
1057,2024-07-26,524.15
1058,2024-07-27,510.4
1059,2024-07-28,576.9
1060,2024-07-29,275.75
1061,2024-07-30,505.1
